0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
1 0.14315 -0.0163 -0.2881 0.78236 -0.00228 -0.0335 0.07197 0.0076 -0.18628 -0.03389 0.19527 0.58306 -0.43364 0.19143 0.17403 -0.01259 0.17463 0.59121 0.24729 -0.25483 0.87376 0.00526 -0.05086 0.13463 0.02317 -0.1749 -0.04044 1.11189 -0.25795 0.32148 0.46615 -0.18826 -0.05326 -0.16982 0.79784 0.29829 -0.50158 0.83212 0.98295 0.82154 -0.01931 0.12581 0.0089 -0.14049 -0.02479 0.0799 0.01243 0.36424 0.05784 0.11691 0.47441 0.15731 -0.10315 0.00751 -0.0794
2 -0.78096 0.00287 -0.05152 0.17606 0.00143 0.07272 -0.033 0.02054 -0.71139 -0.01771 -0.78223 -0.7079 0.79399 -0.83373 -0.2425 0.68655 -0.83098 -0.09755 -0.73557 -0.08646 0.22569 1e-04 0.13004 -0.0268 -0.00573 -0.81347 0.00263 0.4483 -0.12597 0.29256 0.06249 -0.19341 -0.46466 -0.10424 0.17331 0.06238 -0.00434 0.19169 0.69042 0.25255 0.09265 -0.01973 -0.00158 -0.8112 -0.0226 -0.0741 0.23989 -0.23172 0.06168 0.02002 0.6007 0.06007 -0.67715 0.02299 -0.68125
3 0.1777 0.00592 0.79213 0.36809 0.03416 0.08395 0.41412 0.01625 1.05804 0.10968 0.2323 0.38281 -0.12467 0.18642 0.01812 0.09581 0.24913 -0.07882 -0.13208 0.87495 0.46505 0.01283 0.08559 0.42386 -0.017 0.96185 0.11655 -0.12177 1.00922 0.73779 -0.01151 0.82942 -0.05279 0.85791 0.52779 0.23948 -0.41201 0.37195 -0.66817 0.11709 0.10193 0.42415 -0.00629 1.09023 0.13265 0.22425 0.12106 1.00411 0.13242 0.45559 -0.46487 0.10783 1.01109 0.1694 1.07214
4 0.29338 -0.05077 -0.28358 0.22028 -0.02358 -0.2055 0.33397 -0.02637 -0.17898 -0.04198 0.19481 0.23972 -0.08226 0.19223 0.48009 0.32989 0.28527 0.12986 0.34943 -0.34108 0.14009 0.00429 -0.33205 0.19652 -0.02315 -0.2785 -0.09841 0.54104 -0.20613 -0.1473 0.23851 -0.24502 -0.08002 -0.24418 0.19608 0.52993 0.01241 0.10585 0.47287 0.30304 -0.30463 0.17215 -0.00859 -0.18314 -0.08475 0.59663 -0.29029 -0.04549 -0.1589 0.2742 0.25386 0.3682 -0.17479 -0.08137 -0.11991
5 -0.00545 0.05329 -0.06945 1.19149 0.06597 0.10655 0.12627 0.13975 0.14753 0.04485 -0.11782 0.22936 -0.69585 -0.09988 -0.1216 -0.10913 -0.18244 -0.12919 -0.073 -0.18452 0.93708 0.04544 0.14107 0.02103 0.05747 0.16574 0.06196 0.88293 -0.11789 -0.15678 0.18661 -0.0305 -0.04678 0.04649 1.04666 1.07966 -0.45618 0.98262 0.98136 1.13106 0.1591 0.04666 0.09621 0.21703 0.08628 0.04533 0.28263 0.16869 0.17817 -0.09939 0.02896 0.0426 0.20085 0.15351 0.26378
6 0.12674 -0.00615 -0.02809 -0.50401 -0.00922 -0.36592 0.08996 0.03067 0.26034 0.00798 0.09119 0.20832 0.17451 0.12102 0.55736 -0.10163 0.00934 -0.1976 0.05603 -0.04498 -0.54075 0.00117 -0.45212 0.0293 0.03033 0.16007 -0.00677 -0.58261 -0.04579 -0.30046 0.07856 -0.02563 0.13061 -0.05423 -0.50848 -0.12997 0.15442 -0.58646 -0.58703 -0.56426 -0.43982 0.08895 0.04344 0.2005 0.00109 0.63254 -0.44692 0.35683 -0.26456 -0.02486 -0.16868 0.04532 0.13256 0.00897 0.21723
7 -0.92892 0.00061 -0.10793 0.39581 -0.0025 -0.03204 0.18224 0.26136 -0.10911 0.03532 -0.93574 -0.67327 -0.08636 -0.89388 -0.82671 0.97682 -0.75608 0.2444 -0.94879 -0.09964 0.40203 -0.01882 -0.00858 0.15734 0.21911 -0.05849 0.04905 0.34017 -0.15358 -0.02709 0.16258 0.08042 0.22635 -0.13647 0.30353 0.46614 -0.3992 0.3131 0.43 0.26287 -0.06286 0.14934 0.16032 -0.11989 0.05247 0.19384 0.20891 0.05792 -0.05089 -0.19256 0.38296 0.03425 0.03245 0.27827 -0.18181
8 0.00464 0.11051 -0.03627 -0.03813 0.17786 -0.21482 0.29858 0.11977 0.77904 0.02276 0.00068 0.03193 0.04044 -0.06796 0.28345 -0.17606 -0.02175 -0.60564 -0.00331 0.1093 -0.02567 0.08279 -0.11067 0.25923 0.06039 0.73509 0.14114 0.00498 0.14139 -0.06841 0.34947 0.05707 0.61905 0.00515 -0.1584 0.25494 -0.20297 -0.14194 -0.72695 -0.03024 -0.0918 0.22694 0.0408 0.57819 0.18599 0.62487 -0.12644 0.64942 -0.13488 0.28236 -0.34931 0.234 0.50149 0.11946 0.77367
9 -0.04279 -0.00123 0.35877 0.36145 -0.00046 0.08696 0.23626 0.02292 0.78025 0.01278 -0.00963 -0.00865 -0.02549 -0.04164 -0.03868 -0.02107 -0.01537 -0.27419 -0.06531 0.37871 0.39878 -0.00286 0.07771 0.22033 0.02867 0.79651 0.00516 -0.11542 0.38404 0.2435 0.21424 0.32902 0.29721 0.33231 0.36742 0.20662 -0.07506 0.2919 -0.39423 0.33026 0.08293 0.19575 0.02777 0.79656 0.01074 0.25661 0.07508 0.59666 0.05139 0.16303 -0.09745 0.17265 0.69592 0.00499 0.74985
10 0.9396 -0.00662 -0.37659 -0.2285 -0.00643 -0.25319 0.85861 -0.10026 -0.51329 -0.00193 0.8764 0.65829 -0.51411 0.91959 0.87632 -0.06588 0.89698 0.49279 0.96787 -0.34935 -0.20764 -0.01672 -0.304 0.82847 -0.06871 -0.50737 -0.0062 0.04093 -0.31809 -0.51918 0.69297 -0.37571 -0.45542 -0.38553 -0.16525 -0.04452 -0.44265 -0.10611 0.13192 -0.2135 -0.24099 0.84824 -0.07214 -0.46382 -0.00136 0.78803 -0.26913 -0.40295 -0.22911 0.86051 0.53939 0.87969 -0.31852 -0.1057 -0.52705
