NAME,"fold 1,2","fold 1,3","fold 2,3","direction consistency
N: always negative
P: always positive"
  LHC_LMFG ,-0.80,0.72,1.32,changed
  LHC_LPL  ,-1.48,-0.86,-1.04,N
  LHC_LTL  ,2.43,2.11,1.21,P
  LHC_mPFC ,1.34,-0.23,-0.98,changed
  LHC_PCC  ,-0.01,1.16,0.12,changed
  LHC_RHC  ,-0.30,-1.24,-0.39,N
  LHC_RMFG ,0.88,0.22,2.18,P
  LHC_RPL  ,0.80,0.08,0.91,P
  LHC_RTL  ,2.87,2.83,1.52,P
 LHC_Thal ,-0.03,-0.79,-0.06,N
 LMFG_LPL ,2.32,0.34,0.40,P
 LMFG_LTL ,0.47,0.01,0.49,P
 LMFG_mPFC,0.62,0.03,0.54,P
 LMFG_PCC ,-2.73,-2.35,-3.09,N
 LMFG_RHC ,-1.22,0.89,-1.77,changed
 LMFG_RMFG,0.62,0.69,0.93,P
 LMFG_RPL ,-1.73,-1.16,-0.75,N
 LMFG_RTL ,-0.47,0.03,-0.38,changed
 LMFG_Thal,4.13,0.76,3.44,P
 LPL_LTL  ,-1.62,-1.82,-1.32,N
 LPL_mPFC ,0.21,0.86,1.72,P
 LPL_PCC  ,1.65,0.39,1.10,P
 LPL_RHC  ,-3.52,-4.34,-2.32,N
 LPL_RMFG ,-4.75,-1.25,-1.30,N
 LPL_RPL  ,0.93,3.16,0.27,P
 LPL_RTL  ,-1.06,0.15,-1.83,changed
 LPL_Thal ,0.97,1.74,0.93,P
 LTL_mPFC ,-0.03,0.33,0.05,changed
 LTL_PCC  ,2.39,0.81,3.83,P
 LTL_RHC  ,-0.83,-0.46,0.04,changed
 LTL_RMFG ,0.32,-0.02,0.00,changed
 LTL_RPL  ,-0.48,0.77,-0.58,changed
 LTL_RTL  ,-0.34,-0.48,-0.34,N
 LTL_Thal ,-1.44,-1.17,-3.00,N
 mPFC_PCC ,-0.35,0.88,-1.06,changed
 mPFC_RHC ,-0.34,-1.35,-0.26,N
 mPFC_RMFG,-0.43,-0.30,-0.50,N
 mPFC_RPL ,-0.29,-0.53,-0.42,N
 mPFC_RTL ,-0.06,0.13,-0.17,changed
 mPFC_Thal,-0.32,-0.13,1.09,changed
 PCC_RHC  ,2.94,1.77,0.42,P
 PCC_RMFG ,0.44,0.95,-0.48,changed
 PCC_RPL  ,-1.61,-2.45,-0.45,N
 PCC_RTL  ,-2.21,-4.61,-2.56,N
 PCC_Thal ,-2.65,-1.82,-0.52,N
 RHC_RMFG ,-0.31,-0.39,0.15,changed
 RHC_RPL  ,-0.05,0.41,1.54,changed
 RHC_RTL  ,-0.37,0.34,-0.27,changed
 RHC_Thal ,0.44,3.32,0.55,P
 RMFG_RPL ,1.17,0.76,0.54,P
 RMFG_RTL ,0.33,0.11,0.49,P
 RMFG_Thal,2.58,0.07,-1.04,changed
 RPL_RTL  ,1.58,1.54,0.97,P
 RPL_Thal ,4.06,0.74,-0.06,changed
 RTL_Thal ,-1.08,-0.41,1.80,changed
